2020-07-14 12:38:13,698 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:38:13,823 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:38:16,010 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:38:16,010 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-14 12:38:16,010 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:38:16,010 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-14 12:38:16,010 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringToddler
2020-07-14 12:38:16,010 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringToddler
2020-07-14 12:38:16,010 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:38:17,134 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:38:17,134 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-14 12:38:17,134 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:38:17,150 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-14 12:40:34,227 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SpringToddler:SpringToddler:1.0.0-BUILD-SNAPSHOT @ D:\B_Util\3.Eclipse\eGovFrameDev-3.2.0-64bit\workspace\SpringToddler\pom.xml.
2020-07-14 12:40:34,352 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:40:34,461 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:40:34,555 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:40:34,555 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-14 12:40:34,571 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:40:34,571 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-14 12:40:34,571 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringToddler
2020-07-14 12:40:34,571 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringToddler
2020-07-14 12:40:34,571 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:43:20,704 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SpringToddler:SpringToddler:1.0.0-BUILD-SNAPSHOT @ D:\B_Util\3.Eclipse\eGovFrameDev-3.2.0-64bit\workspace\SpringToddler\pom.xml.
2020-07-14 12:43:20,829 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:43:20,938 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:43:21,079 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:43:21,079 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-14 12:43:21,079 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:43:21,094 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-14 12:43:21,094 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringToddler
2020-07-14 12:43:21,094 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringToddler
2020-07-14 12:43:21,094 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:43:22,203 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:43:22,203 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-14 12:43:22,203 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:43:22,219 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-14 12:48:04,270 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SpringToddler:SpringToddler:1.0.0-BUILD-SNAPSHOT @ D:\B_Util\3.Eclipse\eGovFrameDev-3.2.0-64bit\workspace\SpringToddler\pom.xml.
2020-07-14 12:48:04,395 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:48:04,488 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
2020-07-14 12:48:04,598 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:48:04,598 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-14 12:48:04,598 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:48:04,613 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-14 12:48:04,613 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringToddler
2020-07-14 12:48:04,613 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringToddler
2020-07-14 12:48:04,613 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-14 12:57:31,709 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact poi:poi-scratchpad:jar:3.1-FINAL has been relocated to org.apache.poi:poi-scratchpad:jar:3.1-FINAL
